YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,SOIL_TYPE,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUPS
2004,Kasaragodu,84,256.3,40,Alluvial,Drip,231,55,Coconut,238542,Kharif,Y1,Low
2004,Kasaragodu,6674,256.3,40,Alluvial,Drip,18951,56,Coconut,1516,Kharif,Y1,Low
2004,Kasaragodu,36096,256.3,40,Alluvial,Drip,110579,54,Coconut,57259,Kharif,Y1,Low
2004,Kasaragodu,77,257.4,41,Alluvial,Drip,221,58,Coconut,234779,Kharif,Y1,Low
2004,Kasaragodu,5629,257.4,41,Alluvial,Drip,15362,58,Coconut,1493,Kharif,Y1,Low
2004,Kasaragodu,36177,257.4,41,Alluvial,Drip,120373,59,Coconut,64409,Kharif,Y1,Low
2004,Raichur,77,259.6,43,Red,Drip,283,52,Coconut,24848,Kharif,Y1,Low
2004,Raichur,5217,259.6,43,Red,Drip,17690,51,Coconut,761,Kharif,Y1,Low
2004,Gulbarga,23,256.3,40,Black,Basin,98,57,Coconut,1493,Zaid,Y1,Low
2004,Gulbarga,1,256.3,40,Black,Basin,3,57,Coconut,64409,Zaid,Y1,Low
2004,Gulbarga,11126,256.3,40,Black,Basin,58637,54,Coconut,249978,Zaid,Y1,Low
2004,Gulbarga,11343,257.4,41,Black,Basin,59777,54.5,Coconut,637,Zaid,Y1,Low
2004,Gulbarga,11485,257.4,41,Black,Basin,60528,56.6,Coconut,43311,Zaid,Y1,Low
2004,Gulbarga,11598,257.4,41,Black,Basin,61126,55.5,Coconut,24848,Zaid,Y1,Low
2004,Gulbarga,12157,259.6,43,Black,Basin,73730,53,Coconut,646,Zaid,Y1,Low
2004,Gulbarga,1661,256.3,40,Loam,Spray,4904,57,Coconut,45186,Zaid,Y1,Low
2004,Gulbarga,1511,256.3,40,Loam,Spray,2821,57.5,Coconut,238542,Zaid,Y1,Low
2004,Gulbarga,1491,256.3,40,Loam,Spray,3472,57,Coconut,1516,Zaid,Y1,Low
2004,Gulbarga,1457,257.4,41,Loam,Spray,3647,55,Coconut,200000,Zaid,Y1,Low
2004,Gulbarga,1189,257.4,41,Loam,Spray,393,56,Coconut,4847,Zaid,Y1,Low
2004,Gulbarga,460,257.4,41,Red,Spray,167,54,Coconut,51239,Zaid,Y1,Low
2004,Gulbarga,140,259.6,43,Red,Spray,51,50,Coconut,203317,Zaid,Y1,Low
2004,Gulbarga,163,259.6,43,Red,Spray,61,54,Coconut,2134,Zaid,Y1,Low
2004,Gulbarga,30,359.7,134,Red,Drip,9,57,Coffee,64409,Zaid,Y1,Low
2005,Gulbarga,29,360.8,135,Red,Drip,12,57,Coffee,249978,Zaid,Y1,Low
2009,Madikeri,167,256.3,169,Black,Drip,2810,55.5,Pepper,4847,Kharif,Y1,Low
2004,Madikeri,8839,259.6,179,Alluvial,Basin,2628,57,Arecanut,200000,Kharif,Y1,Low
2004,Hassan,4,256.3,27,Red laterite,Spray,6589,57,Paddy,234581,Kharif,Y1,Low
2005,Hassan,32,257.4,27,Red laterite,Spray,5107,57,Paddy,646,Kharif,Y1,Low
2006,Hassan,5,257.4,27,Red laterite,Spray,5518,54,Paddy,43562,Kharif,Y1,Low
2007,Hassan,10,257.4,27,Red laterite,Spray,4912,54.5,Paddy,200000,Kharif,Y1,Low
2013,Gulbarga,167,353.1,128,Red,Drip,67,53,Cocoa,45186,Zaid,Y2,Low
2015,Gulbarga,100,355.3,130,Red,Drip,32,51,Cocoa,1516,Zaid,Y2,Low
2010,Madikeri,8847,256.3,170,Black,Drip,841,58.5,Pepper,51239,Kharif,Y2,Low
